ID,cc_cons
17591,57464.322423844256
13541,62753.39434910382
13431,63823.74223822344
8687,61298.91675225835
14727,60173.8828601886
14988,60542.727246902454
14859,61572.885954863305
16636,52513.63136589051
7625,55542.18637281664
16492,57157.635867442186
13674,52340.92349547843
11981,62149.624544513434
5185,74878.5248549779
15288,52748.45443546455
18526,57738.66801907401
16760,51722.11472944053
10805,54433.434567748904
8830,46454.68729592911
8926,67084.38990340468
10974,53621.08421777147
2155,55844.395862807105
17251,64823.530930393405
12154,58397.61731830222
12227,52841.894791202605
19961,54014.20483719847
13866,58004.66301479111
17498,53511.391403293266
7241,53970.63071267989
414,59130.482191016614
206,52800.97238542532
7420,56397.2996246234
4601,60904.36376743465
2768,56039.708517947765
8120,60379.40921607667
18584,55875.17549768466
16697,61819.36153380767
16238,57990.587819886314
3772,65916.97220429724
3462,55353.9725515599
710,58731.20302261628
558,57093.86600429346
1244,56640.843251828715
1302,55907.52712031674
547,50373.512477472745
19129,55984.03293999811
237,50948.675469839516
11122,57806.97530106883
4438,56593.58610250167
18371,54686.82770011125
6401,56585.95512097076
13770,54822.06199437789
18317,50769.14064809077
19226,51877.16772987941
4126,60342.231181277384
11313,57948.63413351616
3925,54056.55322727125
15973,54102.50632752676
12281,58117.72253312972
353,47063.17805379598
907,52485.56934388052
1711,60610.6961625577
9617,53097.64317546295
12928,60611.33198795599
3523,55828.61117443221
18838,61899.590248825516
17609,56209.428392615715
306,56037.971797501494
14812,57325.20020615745
1551,54234.17376001332
16640,60953.026219555904
13546,57493.239925762355
4968,51551.00332698386
13371,59494.169079561
3981,54622.058024836806
11568,44824.801913905016
5662,55213.24084824582
19586,57272.13514398147
14489,50586.16874133131
14153,54446.9550348225
7626,74766.13295334001
3085,49947.665067124086
14821,54394.8180144055
9815,54445.90030187696
6506,61562.62700687462
6176,43348.69876153028
13040,57837.422613810675
1325,54496.9555612434
330,57756.38324418536
2389,62936.28764321415
10391,64171.99929429705
1019,53159.554327968086
4338,50570.23526747491
19849,59242.234272743604
13667,54593.67312460916
12709,66548.848532838
12701,60508.837337554636
18563,57957.31713161816
19665,53856.326458867334
5251,59236.05358135317
6671,54900.00560710112
15887,52834.00279583298
544,60269.48368286165
13494,60318.76802476336
4304,59338.11290046873
12181,50316.92116644849
15041,60543.375993480426
14167,52841.914431033765
4659,58365.3010392517
1820,53168.276418262794
6317,50878.46171399129
313,48453.31426596675
12467,55886.38080074907
13452,52006.58448623018
3464,51535.48816227395
4890,52125.098828584654
11567,57861.22134277329
17396,50291.143180051455
13188,54879.26651739309
15605,54278.98203494558
7577,52921.4373812975
8160,54492.74436914807
1429,55409.920555537276
14928,50240.492404548306
3349,67754.47692257128
799,61183.302790843874
12678,50422.67204878276
19053,58044.12341514298
15806,56713.722307086755
2854,63827.12231649528
4144,50605.483931576564
16232,55427.18839726664
10365,52109.66417633831
